trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_weekday_0,05:00:00,05:00:00,stop_manual-1770916792369_0,1
trip_weekday_0,05:07:00,05:07:30,stop_manual-1770916792369_1,2
trip_weekday_0,05:14:30,05:15:00,stop_manual-1770916792369_2,3
trip_weekday_0,05:20:00,05:20:30,stop_manual-1770916792369_3,4
trip_weekday_0,05:25:30,05:26:00,stop_manual-1770916792369_4,5
trip_weekday_0,05:31:00,05:31:30,stop_manual-1770916792369_5,6
trip_weekday_0,05:34:30,05:35:00,stop_manual-1770916792369_6,7
trip_weekday_0,05:38:00,05:38:30,stop_manual-1770916792369_7,8
trip_weekday_0,05:44:30,05:45:00,stop_manual-1770916792369_8,9
trip_weekday_0,05:49:00,05:49:30,stop_manual-1770916792369_9,10
trip_weekday_0,05:54:30,05:55:00,stop_manual-1770916792369_10,11
trip_weekday_0,06:00:00,06:00:00,stop_manual-1770916792369_11,12
trip_weekday_1,05:00:00,05:00:00,stop_manual-1770916792369_11,1
trip_weekday_1,05:05:00,05:05:30,stop_manual-1770916792369_10,2
trip_weekday_1,05:10:30,05:11:00,stop_manual-1770916792369_9,3
trip_weekday_1,05:15:00,05:15:30,stop_manual-1770916792369_8,4
trip_weekday_1,05:21:30,05:22:00,stop_manual-1770916792369_7,5
trip_weekday_1,05:25:00,05:25:30,stop_manual-1770916792369_6,6
trip_weekday_1,05:28:30,05:29:00,stop_manual-1770916792369_5,7
trip_weekday_1,05:34:00,05:34:30,stop_manual-1770916792369_4,8
trip_weekday_1,05:39:30,05:40:00,stop_manual-1770916792369_3,9
trip_weekday_1,05:45:00,05:45:30,stop_manual-1770916792369_2,10
trip_weekday_1,05:52:30,05:53:00,stop_manual-1770916792369_1,11
trip_weekday_1,06:00:00,06:00:00,stop_manual-1770916792369_0,12
trip_saturday_0,06:00:00,06:00:00,stop_manual-1770916792369_0,1
trip_saturday_0,06:07:00,06:07:30,stop_manual-1770916792369_1,2
trip_saturday_0,06:14:30,06:15:00,stop_manual-1770916792369_2,3
trip_saturday_0,06:20:00,06:20:30,stop_manual-1770916792369_3,4
trip_saturday_0,06:25:30,06:26:00,stop_manual-1770916792369_4,5
trip_saturday_0,06:31:00,06:31:30,stop_manual-1770916792369_5,6
trip_saturday_0,06:34:30,06:35:00,stop_manual-1770916792369_6,7
trip_saturday_0,06:38:00,06:38:30,stop_manual-1770916792369_7,8
trip_saturday_0,06:44:30,06:45:00,stop_manual-1770916792369_8,9
trip_saturday_0,06:49:00,06:49:30,stop_manual-1770916792369_9,10
trip_saturday_0,06:54:30,06:55:00,stop_manual-1770916792369_10,11
trip_saturday_0,07:00:00,07:00:00,stop_manual-1770916792369_11,12
trip_saturday_1,06:00:00,06:00:00,stop_manual-1770916792369_11,1
trip_saturday_1,06:05:00,06:05:30,stop_manual-1770916792369_10,2
trip_saturday_1,06:10:30,06:11:00,stop_manual-1770916792369_9,3
trip_saturday_1,06:15:00,06:15:30,stop_manual-1770916792369_8,4
trip_saturday_1,06:21:30,06:22:00,stop_manual-1770916792369_7,5
trip_saturday_1,06:25:00,06:25:30,stop_manual-1770916792369_6,6
trip_saturday_1,06:28:30,06:29:00,stop_manual-1770916792369_5,7
trip_saturday_1,06:34:00,06:34:30,stop_manual-1770916792369_4,8
trip_saturday_1,06:39:30,06:40:00,stop_manual-1770916792369_3,9
trip_saturday_1,06:45:00,06:45:30,stop_manual-1770916792369_2,10
trip_saturday_1,06:52:30,06:53:00,stop_manual-1770916792369_1,11
trip_saturday_1,07:00:00,07:00:00,stop_manual-1770916792369_0,12
trip_sunday_0,07:00:00,07:00:00,stop_manual-1770916792369_0,1
trip_sunday_0,07:07:00,07:07:30,stop_manual-1770916792369_1,2
trip_sunday_0,07:14:30,07:15:00,stop_manual-1770916792369_2,3
trip_sunday_0,07:20:00,07:20:30,stop_manual-1770916792369_3,4
trip_sunday_0,07:25:30,07:26:00,stop_manual-1770916792369_4,5
trip_sunday_0,07:31:00,07:31:30,stop_manual-1770916792369_5,6
trip_sunday_0,07:34:30,07:35:00,stop_manual-1770916792369_6,7
trip_sunday_0,07:38:00,07:38:30,stop_manual-1770916792369_7,8
trip_sunday_0,07:44:30,07:45:00,stop_manual-1770916792369_8,9
trip_sunday_0,07:49:00,07:49:30,stop_manual-1770916792369_9,10
trip_sunday_0,07:54:30,07:55:00,stop_manual-1770916792369_10,11
trip_sunday_0,08:00:00,08:00:00,stop_manual-1770916792369_11,12
trip_sunday_1,07:00:00,07:00:00,stop_manual-1770916792369_11,1
trip_sunday_1,07:05:00,07:05:30,stop_manual-1770916792369_10,2
trip_sunday_1,07:10:30,07:11:00,stop_manual-1770916792369_9,3
trip_sunday_1,07:15:00,07:15:30,stop_manual-1770916792369_8,4
trip_sunday_1,07:21:30,07:22:00,stop_manual-1770916792369_7,5
trip_sunday_1,07:25:00,07:25:30,stop_manual-1770916792369_6,6
trip_sunday_1,07:28:30,07:29:00,stop_manual-1770916792369_5,7
trip_sunday_1,07:34:00,07:34:30,stop_manual-1770916792369_4,8
trip_sunday_1,07:39:30,07:40:00,stop_manual-1770916792369_3,9
trip_sunday_1,07:45:00,07:45:30,stop_manual-1770916792369_2,10
trip_sunday_1,07:52:30,07:53:00,stop_manual-1770916792369_1,11
trip_sunday_1,08:00:00,08:00:00,stop_manual-1770916792369_0,12
